yellow_x,yellow_y,yellow_z,blue_x,blue_y,blue_z
-17400,-12840,110,-17447.4,-13186.775,110
-17003.166,-12888.217,110,-17042.402,-13236.011,110
-16604.928,-12933.579,110,-16646.533,-13281.098,110
-16208.467,-12988.76,110,-16267.461,-13333.752,110
-15823,-13091.754,110,-15969.702,-13409.525,110
-15530.292,-13357.764,110,-15772.375,-13610.54,110
-15248.748,-13643.225,110,-15505.958,-13880.591,110
-14993.489,-13951.902,110,-15279.601,-14153.496,110
-14811.875,-14306.13,110,-15143.364,-14418.446,110
-14730.254,-14696.81,110,-15077.368,-14741.663,110
-14662.855,-15090.656,110,-15006.704,-15155.986,110
-14633.386,-15488.105,110,-14982.083,-15457.932,110
-14743.054,-15867.673,110,-15053.479,-15706.007,110
-14970.758,-16197.399,110,-15243.06,-15977.509,110
-15231.626,-16502.219,110,-15493.903,-16270.464,110
-15495.977,-16804.311,110,-15762.881,-16577.898,110
-15740.521,-17121.336,110,-16032.707,-16928.652,110
-15904.498,-17483.424,110,-16241.493,-17388.904,110
-15942.033,-17878.619,110,-16290.458,-17911.789,110
-15843.76,-18264.594,110,-16170.808,-18389.252,110
-15617.23,-18589.406,110,-15862.423,-18839.168,110
-15321.92,-18860.133,110,-15563.685,-19113.213,110
-15078.214,-19173.863,110,-15392.781,-19327.314,110
-14932.718,-19546.039,110,-15268.711,-19644.061,110
-14862.102,-19938.859,110,-15211.411,-19960.836,110
-14888.204,-20336.994,110,-15232.247,-20272.697,110
-14994.789,-20721.941,110,-15323.931,-20602.922,110
-15156.386,-21087.668,110,-15466.096,-20924.637,110
-15367.702,-21426.883,110,-15649.581,-21219.412,110
-15654.467,-21702.902,110,-15867.188,-21424.965,110
-15981.679,-21934.445,110,-16180.96,-21646.719,110
-16299.359,-22177.797,110,-16535.717,-21919.66,110
-16520.721,-22503.623,110,-16857.748,-22409.221,110
-16523.406,-22899.959,110,-16868.938,-22955.709,110
-16461.189,-23295.262,110,-16810.105,-23322.785,110
-16513.148,-23687.797,110,-16842.27,-23568.719,110
-16686.754,-24047.82,110,-16991.656,-23875.965,110
-16887.625,-24394.707,110,-17192.355,-24222.545,110
-17060.133,-24755.047,110,-17390.906,-24640.639,110
-17098.848,-25148.898,110,-17445.846,-25194.637,110
-17008.254,-25538.213,110,-17348.352,-25620.879,110
-16987.324,-25933.406,110,-17331.848,-25871.736,110
-17091.346,-26319.574,110,-17420.275,-26199.971,110
-17263.188,-26680.23,110,-17561.338,-26496.908,110
-17514.832,-26989.113,110,-17757.387,-26736.789,110
-17829.678,-27235.105,110,-18015.955,-26938.793,110
-18187.791,-27411.295,110,-18308.23,-27082.67,110
-18573.4,-27512.471,110,-18640.061,-27168.877,110
-18970.303,-27568.053,110,-18999.027,-27219.234,110
-19370.211,-27571.658,110,-19343.281,-27222.695,110
-19760.887,-27490.391,110,-19635.654,-27163.562,110
-20103.973,-27290.1,110,-19892.363,-27011.314,110
-20401.525,-27022.195,110,-20148.029,-26780.865,110
-20654.357,-26711.742,110,-20365.203,-26514.537,110
-20833.879,-26357.062,110,-20497.746,-26259.521,110
-20855.609,-25960.809,110,-20509.004,-26009.43,110
-20742.555,-25578.121,110,-20423.314,-25721.598,110
-20533.543,-25237.943,110,-20262.805,-25459.756,110
-20214.486,-25004.809,110,-20064.564,-25321.074,110
-19842.281,-24856.766,110,-19721.512,-25185.27,110
-19472.559,-24703.357,110,-19312.637,-25014.686,110
-19155.652,-24463.256,110,-18909.508,-24712.078,110
-18897.627,-24158.609,110,-18609.885,-24357.867,110
-18707.209,-23807.957,110,-18383.258,-23940.455,110
-18595.814,-23425.277,110,-18251.186,-23486.359,110
-18555.762,-23027.23,110,-18206.064,-23041.797,110
-18555.656,-22626.543,110,-18205.895,-22613.645,110
-18583.943,-22227.258,110,-18235.891,-22190.383,110
-18645.088,-21832.227,110,-18303.826,-21754.508,110
-18784.523,-21459.898,110,-18476.053,-21294.533,110
-18985.496,-21114.277,110,-18682.201,-20939.6,110
-19189.582,-20772.297,110,-18896.957,-20580.279,110
-19415.885,-20440.945,110,-19128.629,-20240.984,110
-19643.561,-20110.535,110,-19353.273,-19915,110
-19859.613,-19773.018,110,-19559.043,-19593.691,110
-20045.008,-19417.896,110,-19723.051,-19280.621,110
-20164.439,-19037.936,110,-19823.51,-18958.771,110
-20220.154,-18642.785,110,-19870.475,-18627.793,110
-20194.086,-18244.975,110,-19849.377,-18305.604,110
-20086.4,-17860.574,110,-19760.145,-17987.293,110
-19887.262,-17515.803,110,-19604.264,-17721.746,110
-19634.934,-17204.195,110,-19370.873,-17433.918,110
-19368.613,-16904.092,110,-19106.34,-17135.852,110
-19113.984,-16595.41,110,-18831.086,-16801.488,110
-18912.947,-16251.479,110,-18601.471,-16411.109,110
-18804.965,-15871.309,110,-18455.367,-15888.072,110
-18813.844,-15475.224,110,-18465.418,-15442.066,110
-18888.195,-15080.443,110,-18547.998,-14998.191,110
-18988.736,-14691.065,110,-18650.383,-14601.531,110
-19087.863,-14302.223,110,-18747.338,-14221.335,110
-19166.598,-13909.848,110,-18820.475,-13857.901,110
-19184.43,-13511.515,110,-18836.896,-13552.988,110
-18996.143,-13173.868,110,-18785.08,-13453.067,110
-18630.883,-13019.508,110,-18548.326,-13359.632,110
-18236.383,-12947.954,110,-18182.934,-13293.849,110
-17843.07,-12874.174,110,-17755.998,-13213.17,110
48 blue X=-18999.027 Y=-27219.234 Z=110.000,,,,,
49 yellow X=-19370.211 Y=-27571.658 Z=110.000,,,,,
49 blue X=-19343.281 Y=-27222.695 Z=110.000,,,,,
50 yellow X=-19760.887 Y=-27490.391 Z=110.000,,,,,
50 blue X=-19635.654 Y=-27163.562 Z=110.000,,,,,
51 yellow X=-20103.973 Y=-27290.100 Z=110.000,,,,,
51 blue X=-19892.363 Y=-27011.314 Z=110.000,,,,,
52 yellow X=-20401.525 Y=-27022.195 Z=110.000,,,,,
52 blue X=-20148.029 Y=-26780.865 Z=110.000,,,,,
53 yellow X=-20654.357 Y=-26711.742 Z=110.000,,,,,
53 blue X=-20365.203 Y=-26514.537 Z=110.000,,,,,
54 yellow X=-20833.879 Y=-26357.062 Z=110.000,,,,,
54 blue X=-20497.746 Y=-26259.521 Z=110.000,,,,,
55 yellow X=-20855.609 Y=-25960.809 Z=110.000,,,,,
55 blue X=-20509.004 Y=-26009.430 Z=110.000,,,,,
56 yellow X=-20742.555 Y=-25578.121 Z=110.000,,,,,
56 blue X=-20423.314 Y=-25721.598 Z=110.000,,,,,
57 yellow X=-20533.543 Y=-25237.943 Z=110.000,,,,,
57 blue X=-20262.805 Y=-25459.756 Z=110.000,,,,,
58 yellow X=-20214.486 Y=-25004.809 Z=110.000,,,,,
58 blue X=-20064.564 Y=-25321.074 Z=110.000,,,,,
59 yellow X=-19842.281 Y=-24856.766 Z=110.000,,,,,
59 blue X=-19721.512 Y=-25185.270 Z=110.000,,,,,
60 yellow X=-19472.559 Y=-24703.357 Z=110.000,,,,,
60 blue X=-19312.637 Y=-25014.686 Z=110.000,,,,,
61 yellow X=-19155.652 Y=-24463.256 Z=110.000,,,,,
61 blue X=-18909.508 Y=-24712.078 Z=110.000,,,,,
62 yellow X=-18897.627 Y=-24158.609 Z=110.000,,,,,
62 blue X=-18609.885 Y=-24357.867 Z=110.000,,,,,
63 yellow X=-18707.209 Y=-23807.957 Z=110.000,,,,,
63 blue X=-18383.258 Y=-23940.455 Z=110.000,,,,,
64 yellow X=-18595.814 Y=-23425.277 Z=110.000,,,,,
64 blue X=-18251.186 Y=-23486.359 Z=110.000,,,,,
65 yellow X=-18555.762 Y=-23027.230 Z=110.000,,,,,
65 blue X=-18206.064 Y=-23041.797 Z=110.000,,,,,
66 yellow X=-18555.656 Y=-22626.543 Z=110.000,,,,,
66 blue X=-18205.895 Y=-22613.645 Z=110.000,,,,,
67 yellow X=-18583.943 Y=-22227.258 Z=110.000,,,,,
67 blue X=-18235.891 Y=-22190.383 Z=110.000,,,,,
68 yellow X=-18645.088 Y=-21832.227 Z=110.000,,,,,
68 blue X=-18303.826 Y=-21754.508 Z=110.000,,,,,
69 yellow X=-18784.523 Y=-21459.898 Z=110.000,,,,,
69 blue X=-18476.053 Y=-21294.533 Z=110.000,,,,,
70 yellow X=-18985.496 Y=-21114.277 Z=110.000,,,,,
70 blue X=-18682.201 Y=-20939.600 Z=110.000,,,,,
71 yellow X=-19189.582 Y=-20772.297 Z=110.000,,,,,
71 blue X=-18896.957 Y=-20580.279 Z=110.000,,,,,
72 yellow X=-19415.885 Y=-20440.945 Z=110.000,,,,,
72 blue X=-19128.629 Y=-20240.984 Z=110.000,,,,,
73 yellow X=-19643.561 Y=-20110.535 Z=110.000,,,,,
73 blue X=-19353.273 Y=-19915.000 Z=110.000,,,,,
74 yellow X=-19859.613 Y=-19773.018 Z=110.000,,,,,
74 blue X=-19559.043 Y=-19593.691 Z=110.000,,,,,
75 yellow X=-20045.008 Y=-19417.896 Z=110.000,,,,,
75 blue X=-19723.051 Y=-19280.621 Z=110.000,,,,,
76 yellow X=-20164.439 Y=-19037.936 Z=110.000,,,,,
76 blue X=-19823.510 Y=-18958.771 Z=110.000,,,,,
77 yellow X=-20220.154 Y=-18642.785 Z=110.000,,,,,
77 blue X=-19870.475 Y=-18627.793 Z=110.000,,,,,
78 yellow X=-20194.086 Y=-18244.975 Z=110.000,,,,,
78 blue X=-19849.377 Y=-18305.604 Z=110.000,,,,,
79 yellow X=-20086.400 Y=-17860.574 Z=110.000,,,,,
79 blue X=-19760.145 Y=-17987.293 Z=110.000,,,,,
80 yellow X=-19887.262 Y=-17515.803 Z=110.000,,,,,
80 blue X=-19604.264 Y=-17721.746 Z=110.000,,,,,
81 yellow X=-19634.934 Y=-17204.195 Z=110.000,,,,,
81 blue X=-19370.873 Y=-17433.918 Z=110.000,,,,,
82 yellow X=-19368.613 Y=-16904.092 Z=110.000,,,,,
82 blue X=-19106.340 Y=-17135.852 Z=110.000,,,,,
83 yellow X=-19113.984 Y=-16595.410 Z=110.000,,,,,
83 blue X=-18831.086 Y=-16801.488 Z=110.000,,,,,
84 yellow X=-18912.947 Y=-16251.479 Z=110.000,,,,,
84 blue X=-18601.471 Y=-16411.109 Z=110.000,,,,,
85 yellow X=-18804.965 Y=-15871.309 Z=110.000,,,,,
85 blue X=-18455.367 Y=-15888.072 Z=110.000,,,,,
86 yellow X=-18813.844 Y=-15475.224 Z=110.000,,,,,
86 blue X=-18465.418 Y=-15442.066 Z=110.000,,,,,
87 yellow X=-18888.195 Y=-15080.443 Z=110.000,,,,,
87 blue X=-18547.998 Y=-14998.191 Z=110.000,,,,,
88 yellow X=-18988.736 Y=-14691.065 Z=110.000,,,,,
88 blue X=-18650.383 Y=-14601.531 Z=110.000,,,,,
89 yellow X=-19087.863 Y=-14302.223 Z=110.000,,,,,
89 blue X=-18747.338 Y=-14221.335 Z=110.000,,,,,
90 yellow X=-19166.598 Y=-13909.848 Z=110.000,,,,,
90 blue X=-18820.475 Y=-13857.901 Z=110.000,,,,,
91 yellow X=-19184.430 Y=-13511.515 Z=110.000,,,,,
91 blue X=-18836.896 Y=-13552.988 Z=110.000,,,,,
92 yellow X=-18996.143 Y=-13173.868 Z=110.000,,,,,
92 blue X=-18785.080 Y=-13453.067 Z=110.000,,,,,
93 yellow X=-18630.883 Y=-13019.508 Z=110.000,,,,,
93 blue X=-18548.326 Y=-13359.632 Z=110.000,,,,,
94 yellow X=-18236.383 Y=-12947.954 Z=110.000,,,,,
94 blue X=-18182.934 Y=-13293.849 Z=110.000,,,,,
95 yellow X=-17843.070 Y=-12874.174 Z=110.000,,,,,
95 blue X=-17755.998 Y=-13213.170 Z=110.000,,,,,
LogBlueprintUserMessages: [spline_cones_best_200] 95 blue X=-17755.998 Y=-13213.170 Z=110.000,,,,,